school_id,program_code,application_year,grade,choice_lower,choice_upper,requests
680,SE,2022,K,2,2,28
680,SN,2022,K,2,2,11
680,GE,2022,1,2,2,2
680,SE,2022,1,2,2,1
680,SN,2022,2,2,2,1
680,GE,2022,4,2,2,1
680,SN,2022,5,2,2,1
546,GE,2022,6,2,2,117
546,MM,2022,6,2,2,1
546,NX,2022,6,2,2,1
546,SA,2022,6,2,2,1
546,GE,2022,7,2,2,1
546,GE,2022,8,2,2,4
559,ED,2022,9,2,2,1
559,GE,2022,9,2,2,315
559,MM,2022,9,2,2,7
559,NX,2022,9,2,2,6
559,GE,2022,10,2,2,5
559,GE,2022,11,2,2,8
559,GE,2022,12,2,2,3
559,CA,2022,13,2,2,4
562,AF,2022,K,2,2,1
562,CE,2022,K,2,2,4
562,CN,2022,K,2,2,1
562,GE,2022,K,2,2,20
562,GE,2022,1,2,2,1
562,GE,2022,2,2,2,1
562,GE,2022,3,2,2,1
562,GE,2022,4,2,2,1
404,AF,2022,6,2,2,4
404,GE,2022,6,2,2,303
404,MM,2022,6,2,2,2
404,MS,2022,6,2,2,2
404,SA,2022,6,2,2,4
404,GE,2022,7,2,2,4
404,MM,2022,7,2,2,1
404,GE,2022,8,2,2,5
575,GE,2022,K,2,2,36
575,SA,2022,K,2,2,6
575,SB,2022,K,2,2,5
575,GE,2022,2,2,2,1
575,GE,2022,4,2,2,2
575,GE,2022,5,2,2,1
575,SB,2022,5,2,2,1
589,GE,2022,K,2,2,63
589,SA,2022,K,2,2,5
589,GE,2022,1,2,2,3
589,GE,2022,3,2,2,3
589,GE,2022,4,2,2,4
589,GE,2022,5,2,2,1
593,GE,2022,K,2,2,17
593,SB,2022,K,2,2,9
593,SB,2022,3,2,2,1
453,GE,2022,TK,2,2,17
453,GE,2022,K,2,2,10
453,SE,2022,K,2,2,3
453,SN,2022,K,2,2,1
614,GE,2022,TK,2,2,8
614,GE,2022,K,2,2,27
614,MM,2022,K,2,2,4
614,SB,2022,K,2,2,8
614,GE,2022,1,2,2,1
614,GE,2022,4,2,2,1
614,SB,2022,4,2,2,1
614,GE,2022,5,2,2,1
614,SB,2022,5,2,2,1
607,CN,2022,6,2,2,23
607,ED,2022,6,2,2,1
607,GE,2022,6,2,2,321
607,MM,2022,6,2,2,7
