school_id,program_code,grade,num_requests,choice_min,choice_max,ay
607,SN,7,1,1,1.0,25-26
537,MS,TK,5,1,1.0,25-26
537,MS,K,1,1,1.0,25-26
537,SE,TK,55,1,1.0,25-26
537,SE,K,45,1,1.0,25-26
537,SE,1,3,1,1.0,25-26
537,SN,TK,37,1,1.0,25-26
537,SN,K,32,1,1.0,25-26
537,SN,1,3,1,1.0,25-26
537,SN,2,5,1,1.0,25-26
537,SN,3,3,1,1.0,25-26
537,SN,4,3,1,1.0,25-26
537,SN,5,0,1,1.0,25-26
644,AF,K,8,1,1.0,25-26
644,AF,1,1,1,1.0,25-26
644,AF,2,0,1,1.0,25-26
644,GE,K,44,1,1.0,25-26
644,GE,1,1,1,1.0,25-26
644,GE,2,1,1,1.0,25-26
644,GE,3,0,1,1.0,25-26
644,GE,4,1,1,1.0,25-26
644,GE,5,0,1,1.0,25-26
757,AF,9,1,1,1.0,25-26
757,GE,9,26,1,1.0,25-26
757,GE,10,1,1,1.0,25-26
757,GE,11,0,1,1.0,25-26
757,MM,9,0,1,1.0,25-26
757,MM,12,1,1,1.0,25-26
544,GE,TK,62,1,1.0,25-26
544,GE,K,39,1,1.0,25-26
544,GE,1,6,1,1.0,25-26
544,GE,2,1,1,1.0,25-26
544,GE,3,1,1,1.0,25-26
544,GE,4,3,1,1.0,25-26
544,GE,5,3,1,1.0,25-26
544,MS,TK,1,1,1.0,25-26
544,MS,K,1,1,1.0,25-26
544,MS,2,0,1,1.0,25-26
838,GE,TK,33,1,1.0,25-26
838,GE,K,5,1,1.0,25-26
838,GE,1,1,1,1.0,25-26
838,GE,2,0,1,1.0,25-26
838,GE,4,2,1,1.0,25-26
838,GE,5,0,1,1.0,25-26
838,ME,K,21,1,1.0,25-26
838,ME,1,2,1,1.0,25-26
838,MN,K,18,1,1.0,25-26
838,MN,2,0,1,1.0,25-26
838,MN,3,1,1,1.0,25-26
838,SA,TK,3,1,1.0,25-26
838,SA,K,1,1,1.0,25-26
838,SA,1,0,1,1.0,25-26
710,GE,6,103,1,1.0,25-26
710,GE,7,2,1,1.0,25-26
710,GE,8,1,1,1.0,25-26
710,MM,6,3,1,1.0,25-26
664,GE,TK,50,1,1.0,25-26
664,GE,K,77,1,1.0,25-26
664,GE,1,1,1,1.0,25-26
664,GE,2,2,1,1.0,25-26
664,GE,3,3,1,1.0,25-26
664,GE,4,3,1,1.0,25-26
664,GE,5,2,1,1.0,25-26
670,AF,TK,9,1,1.0,25-26
670,AF,K,5,1,1.0,25-26
670,AF,1,2,1,1.0,25-26
670,AF,2,2,1,1.0,25-26
670,GE,TK,26,1,1.0,25-26
670,GE,K,26,1,1.0,25-26
670,GE,1,4,1,1.0,25-26
670,GE,2,4,1,1.0,25-26
670,GE,3,0,1,1.0,25-26
670,GE,4,1,1,1.0,25-26
670,GE,5,1,1,1.0,25-26
490,CB,K,43,1,1.0,25-26
490,CB,1,1,1,1.0,25-26
490,CB,2,0,1,1.0,25-26
490,CB,3,1,1,1.0,25-26
490,GE,TK,24,1,1.0,25-26
490,GE,K,15,1,1.0,25-26
490,GE,1,5,1,1.0,25-26
490,GE,2,3,1,1.0,25-26
490,GE,3,1,1,1.0,25-26
490,GE,4,1,1,1.0,25-26
490,GE,5,1,1,1.0,25-26
676,GE,TK,94,1,1.0,25-26
676,GE,K,115,1,1.0,25-26
676,GE,1,10,1,1.0,25-26
676,GE,2,14,1,1.0,25-26
676,GE,3,18,1,1.0,25-26
676,GE,4,12,1,1.0,25-26
676,GE,5,22,1,1.0,25-26
676,GE,6,45,1,1.0,25-26
676,GE,7,10,1,1.0,25-26
676,GE,8,4,1,1.0,25-26
676,MS,K,6,1,1.0,25-26
676,MS,2,0,1,1.0,25-26
676,MS,3,0,1,1.0,25-26
676,MS,5,1,1,1.0,25-26
676,MS,6,0,1,1.0,25-26
634,ED,6,1,1,1.0,25-26
634,GE,6,89,1,1.0,25-26
634,GE,7,3,1,1.0,25-26
634,GE,8,3,1,1.0,25-26
634,MM,6,3,1,1.0,25-26
634,MM,7,1,1,1.0,25-26
634,SN,6,71,1,1.0,25-26
634,SN,7,5,1,1.0,25-26
634,SN,8,1,1,1.0,25-26
479,GE,K,143,1,1.0,25-26
