ay,school_id,program_code,program_name
25-26,485,CT,CT: Cantonese Immersion (All others)
24-25,441,BA,Bay Street Transition Program
24-25,441,CA,SDC Transition Program (CAT)
24-25,442,CA,SDC Transition Program (CAT)
24-25,413,GE,GE: General Education
24-25,413,SA,SA: SDC - Extensive Services Autism Focus
24-25,420,GE,GE: General Education
24-25,420,MS,MS: SDC - Extensive Services
24-25,420,SE,SE: Spanish Immersion (Non-Native)
24-25,420,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,431,GE,GE: General Education
24-25,431,MM,MM: SDC - Mild to Moderate
24-25,431,MN,MN: Mandarin Immersion (Mandarin Speakers)
24-25,431,SA,SA: SDC - Extensive Services Autism Focus
24-25,903,GE,GE: General Education
24-25,435,AF,AF: SDC - Mild/Mod Autism Focus
24-25,435,GE,GE: General Education
24-25,815,CA,SDC Transition Program (CAT)
24-25,815,GE,GE: General Education
24-25,815,MM,MM: SDC - Mild to Moderate
24-25,439,CA,SDC Transition Program (CAT)
24-25,439,GE,GE: General Education
24-25,439,MM,MM: SDC - Mild to Moderate
24-25,439,MS,MS: SDC - Extensive Services
24-25,439,NX,NX: Newcomer Program
24-25,858,GE,GE: General Education
24-25,858,MM,MM: SDC - Mild to Moderate
24-25,858,MS,MS: SDC - Extensive Services
24-25,456,GE,GE: General Education
24-25,456,SB,SB: Spanish Biliteracy
24-25,618,MM,MM: SDC - Mild to Moderate
24-25,618,SE,SE: Spanish Immersion (Non-Native)
24-25,618,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,764,CA,SDC Transition Program (CAT)
24-25,764,GE,GE: General Education
24-25,764,MM,MM: SDC - Mild to Moderate
24-25,764,MS,MS: SDC - Extensive Services
24-25,449,FB,FB: Filipino FLES
24-25,449,GE,GE: General Education
24-25,625,GE,GE: General Education
24-25,603,GE,GE: General Education
24-25,603,SB,SB: Spanish Biliteracy
24-25,603,TC,TC: SDC - Total Communication
24-25,872,CB,CB: Cantonese Biliteracy
24-25,872,GE,GE: General Education
24-25,509,CE,CE: Cantonese Immersion (All English)
24-25,509,CN,CN: Cantonese Immersion (Cantonese Speakers)
24-25,478,GE,GE: General Education
24-25,478,JB,JB: Japanese Bilingual Bicultural Prgram
24-25,478,JE,JE: Japanese Bilingual Bicultural Program - English Cohort
24-25,478,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort
24-25,478,MM,MM: SDC - Mild to Moderate
24-25,481,GE,GE: General Education
24-25,481,SB,SB: Spanish Biliteracy
24-25,525,GE,GE: General Education
24-25,632,AF,AF: SDC - Mild/Mod Autism Focus
24-25,632,ED,ED: SDC - SOAR
24-25,632,GE,GE: General Education
24-25,632,MM,MM: SDC - Mild to Moderate
24-25,632,MS,MS: SDC - Extensive Services
24-25,507,GE,GE: General Education
24-25,521,AF,AF: SDC - Mild/Mod Autism Focus
24-25,521,ED,ED: SDC - SOAR
24-25,521,GE,GE: General Education
24-25,521,MS,MS: SDC - Extensive Services
24-25,529,AF,AF: SDC - Mild/Mod Autism Focus
24-25,529,GE,GE: General Education
24-25,529,MM,MM: SDC - Mild to Moderate
24-25,529,MS,MS: SDC - Extensive Services
24-25,529,NX,NX: Newcomer Program
24-25,529,SN,SN: Spanish Immersion (Spanish Speakers)
24-25,539,ED,ED: SDC - SOAR
24-25,539,GE,GE: General Education
24-25,539,SA,SA: SDC - Extensive Services Autism Focus
24-25,680,ED,ED: SDC - SOAR
24-25,680,GE,GE: General Education
