SchoolName,idSchool,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+,Grand Total
Milk (Harvey) Civil Right ES,505,1,GE,41,3,1,0,0,2,3.0,8.0,58.0
Milk (Harvey) Civil Right ES,505,2,GE,45,1,0,0,1,1,0.0,2.0,50.0
Milk (Harvey) Civil Right ES,505,3,GE,38,0,2,0,1,0,2.0,6.0,49.0
Milk (Harvey) Civil Right ES,505,4,GE,29,4,1,1,0,1,0.0,0.0,36.0
Milk (Harvey) Civil Right ES,505,5,GE,38,0,0,0,0,0,0.0,0.0,38.0
Miraloma ES,722,KG,AF,4,4,4,1,0,0,0.0,1.0,14.0
Miraloma ES,722,KG,GE,78,82,77,76,82,79,68.0,614.0,1156.0
Miraloma ES,722,1,AF,2,0,0,0,0,0,0.0,0.0,2.0
Miraloma ES,722,1,GE,68,6,7,4,6,8,3.0,13.0,115.0
Miraloma ES,722,2,AF,3,0,0,0,0,0,0.0,0.0,3.0
Miraloma ES,722,2,GE,67,0,2,6,2,5,5.0,5.0,92.0
Miraloma ES,722,3,GE,70,5,6,5,5,2,1.0,8.0,102.0
Miraloma ES,722,4,AF,3,0,0,0,0,0,0.0,0.0,3.0
Miraloma ES,722,4,GE,64,2,2,3,1,0,1.0,4.0,77.0
Miraloma ES,722,5,GE,67,2,2,0,1,3,2.0,1.0,78.0
Mission Education Center ES,724,1,NS,6,0,2,2,3,0,0.0,0.0,13.0
Mission Education Center ES,724,2,NS,9,0,1,6,0,2,1.0,0.0,19.0
Mission Education Center ES,724,3,NS,11,0,0,7,3,0,0.0,0.0,21.0
Mission Education Center ES,724,4,NS,11,0,0,2,4,0,0.0,0.0,17.0
Mission Education Center ES,724,5,NS,5,0,1,7,2,0,0.0,0.0,15.0
Mission HS,725,9,ED,0,1,1,1,0,0,0.0,0.0,3.0
Mission HS,725,9,GE,149,147,161,137,88,68,25.0,12.0,787.0
Mission HS,725,9,MM,5,6,0,1,0,1,0.0,1.0,14.0
Mission HS,725,9,MS,3,1,1,0,0,0,0.0,0.0,5.0
Mission HS,725,9,NX,4,7,6,3,1,1,0.0,1.0,23.0
Mission HS,725,9,SA,1,0,0,0,0,0,0.0,0.0,1.0
