School ID,School Name,Grade,Program,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+
439,Balboa HS,13,CA,,4,7,3,2,0,0,0,0,0,0
858,Brown Jr. (Willie) MS,6,GE,,96,52,50,38,22,10,5,4,2,15
858,Brown Jr. (Willie) MS,7,GE,,2,1,1,0,1,0,0,0,0,0
858,Brown Jr. (Willie) MS,8,GE,,1,1,1,0,0,0,0,0,0,0
456,Bryant ES,K,GE,,10,8,27,17,7,4,0,1,1,17
456,Bryant ES,K,SB,,28,7,20,5,5,0,0,1,0,2
456,Bryant ES,1,GE,,0,1,0,0,0,0,0,0,0,3
456,Bryant ES,1,SB,,0,0,0,1,0,0,0,0,0,0
456,Bryant ES,2,GE,,0,1,0,0,1,0,0,0,0,0
456,Bryant ES,2,SB,,0,0,0,0,0,0,0,0,0,0
456,Bryant ES,3,GE,,0,1,2,0,0,0,1,0,0,1
456,Bryant ES,3,SB,,0,2,0,0,1,0,0,0,0,0
456,Bryant ES,4,GE,,0,0,1,0,1,0,0,0,0,0
456,Bryant ES,4,SB,,1,0,0,0,0,1,0,0,0,0
456,Bryant ES,5,GE,,0,1,0,0,0,0,0,0,0,1
456,Bryant ES,5,SB,,0,0,1,1,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,K,MM,,1,2,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,K,SE,,27,23,16,15,12,10,5,1,9,27
618,Buena Vista Horace Mann K-8,K,SN,,22,31,17,14,6,6,0,2,0,2
618,Buena Vista Horace Mann K-8,1,MM,,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,1,SE,,2,0,1,0,0,2,0,0,0,1
618,Buena Vista Horace Mann K-8,1,SN,,3,2,0,1,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,2,MM,,0,0,0,0,0,0,0,0,0,0
618,Buena Vista Horace Mann K-8,2,SN,,2,1,2,0,1,0,0,0,0,0
618,Buena Vista Horace Mann K-8,3,MM,,0,0,0,0,0,0,0,0,0,0
