Grade,Program,SchoolName,1st,2nd,3rd,4th,5th,6-10,6,7,8,9,10,11-25,26+,Grand Total
6th Grade,SDC - Mild to Moderate,Visitacion Valley MS,1,2,2,,,0,,,,,,0,0,5
6th Grade,SDC - Mild/Mod Autism Focus,Denman (James) MS,1,1,1,2,,0,,,,,,0,0,5
6th Grade,SDC - Mild/Mod Autism Focus,Everett MS,1,1,,1,1,0,,,,,,0,0,4
6th Grade,SDC - Mild/Mod Autism Focus,Giannini (A.P.) MS,9,6,1,,,0,,,,,,0,0,16
6th Grade,SDC - Mild/Mod Autism Focus,Marina MS,,2,2,,,0,,,,,,0,0,4
6th Grade,SDC - Mild/Mod Autism Focus,Roosevelt MS,7,5,2,,,0,,,,,,0,0,14
6th Grade,SDC - Moderate to Severe,Denman (James) MS,2,1,1,3,,1,1,,,,,0,0,8
6th Grade,SDC - Moderate to Severe,Everett MS,1,,,,1,0,,,,,,0,0,2
6th Grade,SDC - Moderate to Severe,Giannini (A.P.) MS,5,1,,,1,0,,,,,,0,0,7
6th Grade,SDC - Moderate to Severe,Lawton K-8,2,3,,,,1,,1,,,,0,0,6
6th Grade,SDC - Moderate to Severe,Marina MS,,1,,,,0,,,,,,0,0,1
6th Grade,SDC - Moderate to Severe,Presidio MS,,,3,,,1,,,1,,,0,0,4
6th Grade,SDC - Moderate to Severe,Visitacion Valley MS,1,1,,,,0,,,,,,0,0,2
6th Grade,SDC - Severely Autistic,Aptos MS,5,,2,,,0,,,,,,0,0,7
6th Grade,SDC - Severely Autistic,Francisco MS,2,1,1,,,0,,,,,,0,0,4
6th Grade,SDC - Severely Autistic,Giannini (A.P.) MS,5,6,,,,0,,,,,,0,0,11
6th Grade,SDC - Severely Autistic,Roosevelt MS,1,2,2,1,,0,,,,,,0,0,6
6th Grade,SDC - Social-Emotional/Behavioral Enhanced,Denman (James) MS,1,2,1,,,0,,,,,,0,0,4
6th Grade,SDC - Social-Emotional/Behavioral Enhanced,Francisco MS,3,,1,,1,0,,,,,,0,0,5
6th Grade,SDC - Social-Emotional/Behavioral Enhanced,Hoover (Herbert) MS,1,3,,1,,0,,,,,,0,0,5
6th Grade,SDC - Social-Emotional/Behavioral Enhanced,Lick (James) MS,2,1,2,1,,0,,,,,,0,0,6
