School ID,School Name,Grade,Program Code,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+ Choice
589,Grattan ES,K,SA,SA: SDC - Mod/Severe Autism Focus,4,5,3,1,,,,,,
589,Grattan ES,1,GE,GE: General Education,5,3,1,5,4,,3,1,1,5
589,Grattan ES,2,GE,GE: General Education,4,,5,1,,,,,,1
589,Grattan ES,3,GE,GE: General Education,1,3,4,1,,,,,,1
589,Grattan ES,4,GE,GE: General Education,1,4,2,,4,,1,,,2
589,Grattan ES,5,GE,GE: General Education,2,1,,4,1,1,1,,,
593,Guadalupe ES,K,GE,GE: General Education,13,17,13,9,6,6,3,1,,18
593,Guadalupe ES,K,SB,SB: Spanish Biliteracy,14,9,9,2,2,1,1,1,,
593,Guadalupe ES,3,SB,SB: Spanish Biliteracy,,1,,,,,,,,
593,Guadalupe ES,4,GE,GE: General Education,,,,,,,,,,1
593,Guadalupe ES,5,GE,GE: General Education,,,,1,,,,,,
453,Harte (Bret) ES,TK,GE,GE: General Education,4,17,9,11,8,4,1,1,,6
453,Harte (Bret) ES,K,GE,GE: General Education,20,10,3,5,3,1,,,,14
453,Harte (Bret) ES,K,SE,SE: Spanish Immersion (Non-Native),11,3,2,2,1,1,1,,1,7
453,Harte (Bret) ES,K,SN,SN: Spanish Immersion (Spanish Speakers),3,1,1,1,,,,,,3
453,Harte (Bret) ES,1,SN,SN: Spanish Immersion (Spanish Speakers),1,,,,,,,,,
453,Harte (Bret) ES,2,GE,GE: General Education,2,,,,,,,,,
453,Harte (Bret) ES,2,SN,SN: Spanish Immersion (Spanish Speakers),2,,,,,,,,,
453,Harte (Bret) ES,4,GE,GE: General Education,,,,,,,,,,1
453,Harte (Bret) ES,5,GE,GE: General Education,,,1,,,,,,,
614,Hillcrest ES,TK,GE,GE: General Education,,8,4,5,5,4,2,,,
614,Hillcrest ES,K,GE,GE: General Education,16,27,18,18,19,7,5,3,7,35
614,Hillcrest ES,K,MM,MM: SDC - Mild to Moderate,,4,1,2,1,,,,,
614,Hillcrest ES,K,SB,SB: Spanish Biliteracy,11,8,8,7,2,,,,2,1
614,Hillcrest ES,1,GE,GE: General Education,,1,,,,,1,,,
614,Hillcrest ES,1,SB,SB: Spanish Biliteracy,,,,,1,,,,,
614,Hillcrest ES,2,GE,GE: General Education,,,,,,1,,,,
614,Hillcrest ES,2,SB,SB: Spanish Biliteracy,,,1,,,,,,,
614,Hillcrest ES,3,GE,GE: General Education,,,,,1,,,,,
614,Hillcrest ES,3,SB,SB: Spanish Biliteracy,,,1,,,,,,,
614,Hillcrest ES,4,GE,GE: General Education,1,1,2,,,,,,,1
614,Hillcrest ES,4,SB,SB: Spanish Biliteracy,,1,,1,,,,,,
614,Hillcrest ES,5,GE,GE: General Education,,1,2,,,1,,,,
614,Hillcrest ES,5,SB,SB: Spanish Biliteracy,,1,,1,,,,,,
607,Hoover (Herbert) MS,6,CN,CN: Cantonese Immersion (Cantonese Speakers),76,23,11,11,6,1,1,,,
607,Hoover (Herbert) MS,6,ED,ED: SDC - Emotionally Disturbed,3,1,,,,,1,,,
